"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"43",95,2,3,1,0,7,2,2,5,6,55,1,-0.710559010505676,0,0.444669157266617,1,4
"44",96,4,4,0,1,7,0,2,5,5,78.25,0,-1.28867614269257,0,1.2436032295227,1,5
"45",98,4,2,0,0,7,2,1,6,6,84,1,0.638380944728851,1,0.604456007480621,1,2
"46",104,14,6,2,5,7,1,2,6,5,59,1,-0.517853319644928,0,0.125095501542091,1,13
"47",107,6,4,2,1,4,2,1,5,5,71.75,1,0.831086695194244,1,-0.354264974594116,0,7
"48",108,6,3,0,2,4,2,2,6,6,70,0,-1.28867614269257,0,0.604456007480621,1,5
"49",110,6,3,0,1,4,1,2,6,6,67.5,0,-1.09597039222717,0,0.924029648303986,1,4
"50",111,3,4,2,0,6,0,2,7,6,73,0,0.638380944728851,1,-0.0346913151443005,0,6
"51",113,1,5,2,0,6,3,3,6,6,73,1,1.21649813652039,1,1.2436032295227,1,7
"52",116,4,4,1,0,6,1,1,7,7,64,1,-2.25220465660095,0,1.40339004993439,1,5
"53",126,14,2,2,1,7,2,3,1,5,76.25,1,1.60190951824188,1,-0.0346913151443005,0,5
"54",135,10,4,2,5,2,2,2,4,6,45.75,1,-1.09597039222717,0,0.444669157266617,1,11
"55",137,15,4,2,2,4,2,2,8,8,53.5,1,-1.48138189315796,0,-0.354264974594116,0,8
"56",142,3,4,5,2,4,2,2,1,2,65.3333358764648,0,0.831086695194244,1,0.604456007480621,1,11
"57",143,8,4,0,0,6,2,2,7,7,72,1,0.831086695194244,1,0.604456007480621,1,4
"58",148,57,6,0,2,4,1,2,6,5,77.6666641235352,1,-1.28867614269257,0,0.444669157266617,1,8
"59",150,21,6,2,8,7,2,2,0,5,59,1,0.638380944728851,1,2.04253745079041,1,16
"60",152,4,2,0,0,6,1,2,1,2,71.3333358764648,0,-0.710559010505676,0,1.08381640911102,1,2
"61",153,15,3,2,2,5,2,3,0,0,64.3333358764648,0,1.02379238605499,1,-0.194478139281273,0,7
"62",154,9,4,2,1,4,2,2,6,6,45,1,-0.517853319644928,0,0.125095501542091,1,7
"63",156,4,5,1,0,7,1,2,6,6,77,1,2.18002653121948,1,0.764242827892303,1,6
"64",157,5,6,1,0,7,0,3,5,5,70,1,-2.63761615753174,0,1.72296380996704,1,7
"65",159,3,3,0,2,3,2,1,8,0,58.5,0,-0.517853319644928,0,0.284882336854935,1,5
"66",161,3,3,2,2,7,3,3,4,6,71,1,-0.517853319644928,0,1.88275063037872,1,7
"67",163,16,5,5,5,6,1,2,2,2,61.5,0,-0.710559010505676,0,-0.194478139281273,0,15
"68",165,4,4,5,5,6,2,3,8,5,59,1,-0.517853319644928,0,0.444669157266617,1,14
"69",166,4,5,0,1,5,2,1,5,5,29,0,-0.903264701366425,0,-0.0346913151443005,0,6
"70",167,8,4,2,1,7,2,1,7,7,66,0,0.638380944728851,1,0.284882336854935,1,7
"71",168,10,4,2,2,7,3,3,5,2,78,0,-0.903264701366425,0,1.08381640911102,1,8
